0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:28:00 +0530] "GET /ChatBoxFrontEnd/User/UserProfile.html HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:28:00 +0530] "GET /ChatBoxFrontEnd/resources/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:28:04 +0530] "GET /ChatBoxFrontEnd/Job/AllJobs.html HTTP/1.1" 200 2408
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:28:04 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:28:06 +0530] "GET /ChatBoxFrontEnd/Job/UserByJob.html HTTP/1.1" 200 1211
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:28:06 +0530] "GET /ChatBoxRestService/getuserbyjobId/5 HTTP/1.1" 200 869
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:28:08 +0530] "GET /ChatBoxFrontEnd/Job/EditUserByJobProfile.html HTTP/1.1" 200 800
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:29:01 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:31:27 +0530] "POST /ChatBoxRestService/register HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:31:27 +0530] "GET /ChatBoxFrontEnd/User/JobProfile.html HTTP/1.1" 200 1341
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:31:45 +0530] "POST /ChatBoxRestService/adduserprofile HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:31:56 +0530] "POST /ChatBoxRestService/login HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:32:03 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:32:07 +0530] "POST /ChatBoxRestService/addapplyjob HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:32:10 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:32:15 +0530] "GET /ChatBoxFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:32:43 +0530] "POST /ChatBoxRestService/login HTTP/1.1" 200 344
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:32:49 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:33:33 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:33:33 +0530] "GET /ChatBoxRestService/getuserbyjobId/9 HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:33:36 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:33:38 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:33:38 +0530] "GET /ChatBoxRestService/getuserbyjobId/5 HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [22/Jul/2017:00:33:49 +0530] "GET /ChatBoxRestService/getalljob HTTP/1.1" 200 391
